[2026-06-01 16:19:01.753075] Gerçek: 580.28 | Tahmin: 580.28 | MAE Hata: 0.0000
[2026-06-01 16:19:02.049771] Gerçek: 570.39 | Tahmin: 570.39 | MAE Hata: 0.0000
[2026-06-01 16:19:02.338305] Gerçek: 559.63 | Tahmin: 559.63 | MAE Hata: 0.0000
[2026-06-01 16:19:02.644525] Gerçek: 546.98 | Tahmin: 546.98 | MAE Hata: 0.0000
[2026-06-01 16:19:02.955056] Gerçek: 533.20 | Tahmin: 533.20 | MAE Hata: 0.0000
[2026-06-01 16:19:03.249572] Gerçek: 519.05 | Tahmin: 519.05 | MAE Hata: 0.0000
[2026-06-01 16:19:03.533493] Gerçek: 506.45 | Tahmin: 506.45 | MAE Hata: 0.0000
[2026-06-01 16:19:03.801663] Gerçek: 496.65 | Tahmin: 496.65 | MAE Hata: 0.0000
[2026-06-01 16:19:04.103153] Gerçek: 487.57 | Tahmin: 487.57 | MAE Hata: 0.0000
[2026-06-01 16:19:04.379644] Gerçek: 477.58 | Tahmin: 477.58 | MAE Hata: 0.0000
[2026-06-01 16:19:04.637910] Gerçek: 465.86 | Tahmin: 465.86 | MAE Hata: 0.0000
[2026-06-01 16:19:04.886711] Gerçek: 453.30 | Tahmin: 453.30 | MAE Hata: 0.0000
[2026-06-01 16:19:05.154762] Gerçek: 440.61 | Tahmin: 440.61 | MAE Hata: 0.0000
[2026-06-01 16:19:05.433220] Gerçek: 429.43 | Tahmin: 429.43 | MAE Hata: 0.0000
[2026-06-01 16:19:05.702987] Gerçek: 421.86 | Tahmin: 421.86 | MAE Hata: 0.0000
[2026-06-01 16:19:05.985992] Gerçek: 413.73 | Tahmin: 413.73 | MAE Hata: 0.0000
[2026-06-01 16:19:06.257369] Gerçek: 404.66 | Tahmin: 404.66 | MAE Hata: 0.0000
[2026-06-01 16:19:06.542508] Gerçek: 394.02 | Tahmin: 394.02 | MAE Hata: 0.0000
[2026-06-01 16:19:06.817359] Gerçek: 382.80 | Tahmin: 382.80 | MAE Hata: 0.0000
[2026-06-01 16:19:07.084889] Gerçek: 371.70 | Tahmin: 371.70 | MAE Hata: 0.0000
[2026-06-01 16:19:07.350716] Gerçek: 362.06 | Tahmin: 362.06 | MAE Hata: 0.0000
[2026-06-01 16:19:07.636831] Gerçek: 354.71 | Tahmin: 354.71 | MAE Hata: 0.0000
[2026-06-01 16:19:07.894373] Gerçek: 347.64 | Tahmin: 347.64 | MAE Hata: 0.0000
[2026-06-01 16:19:08.169142] Gerçek: 339.58 | Tahmin: 339.58 | MAE Hata: 0.0000
[2026-06-01 16:19:08.443065] Gerçek: 330.10 | Tahmin: 330.10 | MAE Hata: 0.0000
[2026-06-01 16:19:08.716457] Gerçek: 320.31 | Tahmin: 320.31 | MAE Hata: 0.0000
[2026-06-01 16:19:08.994220] Gerçek: 310.87 | Tahmin: 310.87 | MAE Hata: 0.0000
[2026-06-01 16:19:09.269042] Gerçek: 302.82 | Tahmin: 302.82 | MAE Hata: 0.0000
[2026-06-01 16:19:09.539085] Gerçek: 296.77 | Tahmin: 296.77 | MAE Hata: 0.0000
[2026-06-01 16:19:09.827384] Gerçek: 291.84 | Tahmin: 291.84 | MAE Hata: 0.0000
[2026-06-01 16:20:10.484618] Gerçek: 17589.72 | Tahmin: 17589.72 | MAE Hata: 0.0000
[2026-06-01 16:20:10.776986] Gerçek: 17261.36 | Tahmin: 17261.36 | MAE Hata: 0.0000
[2026-06-01 16:20:11.067690] Gerçek: 16874.89 | Tahmin: 16874.89 | MAE Hata: 0.0000
[2026-06-01 16:20:11.366045] Gerçek: 16453.54 | Tahmin: 16453.54 | MAE Hata: 0.0000
[2026-06-01 16:20:11.674687] Gerçek: 16019.75 | Tahmin: 16019.75 | MAE Hata: 0.0000
[2026-06-01 16:20:11.966371] Gerçek: 15633.26 | Tahmin: 15633.26 | MAE Hata: 0.0000
[2026-06-01 16:20:12.341188] Gerçek: 15332.63 | Tahmin: 15332.63 | MAE Hata: 0.0000
[2026-06-01 16:20:12.681620] Gerçek: 15054.06 | Tahmin: 15054.06 | MAE Hata: 0.0000
[2026-06-01 16:20:12.984666] Gerçek: 14748.51 | Tahmin: 14748.51 | MAE Hata: 0.0000
[2026-06-01 16:20:13.292568] Gerçek: 14389.71 | Tahmin: 14389.71 | MAE Hata: 0.0000
[2026-06-01 16:20:13.596417] Gerçek: 14004.29 | Tahmin: 14004.29 | MAE Hata: 0.0000
[2026-06-01 16:20:13.894355] Gerçek: 13614.20 | Tahmin: 13614.20 | MAE Hata: 0.0000
[2026-06-01 16:20:14.202026] Gerçek: 13270.26 | Tahmin: 13270.26 | MAE Hata: 0.0000
[2026-06-01 16:20:14.450728] Gerçek: 13036.28 | Tahmin: 13036.28 | MAE Hata: 0.0000
[2026-06-01 16:20:14.746620] Gerçek: 12786.20 | Tahmin: 12786.20 | MAE Hata: 0.0000
[2026-06-01 16:20:15.051261] Gerçek: 12507.90 | Tahmin: 12507.90 | MAE Hata: 0.0000
[2026-06-01 16:20:15.344114] Gerçek: 12181.37 | Tahmin: 12181.37 | MAE Hata: 0.0000
[2026-06-01 16:20:15.655032] Gerçek: 11836.44 | Tahmin: 11836.44 | MAE Hata: 0.0000
[2026-06-01 16:20:15.950040] Gerçek: 11494.34 | Tahmin: 11494.34 | MAE Hata: 0.0000
[2026-06-01 16:20:16.255206] Gerçek: 11196.65 | Tahmin: 11196.65 | MAE Hata: 0.0000
[2026-06-01 16:20:16.540727] Gerçek: 10969.35 | Tahmin: 10969.35 | MAE Hata: 0.0000
[2026-06-01 16:20:16.821832] Gerçek: 10751.23 | Tahmin: 10751.23 | MAE Hata: 0.0000
[2026-06-01 16:20:17.128800] Gerçek: 10503.33 | Tahmin: 10503.33 | MAE Hata: 0.0000
[2026-06-01 16:20:17.420075] Gerçek: 10212.11 | Tahmin: 10212.11 | MAE Hata: 0.0000
[2026-06-01 16:20:17.692985] Gerçek: 9910.42 | Tahmin: 9910.42 | MAE Hata: 0.0000
[2026-06-01 16:20:17.980245] Gerçek: 9618.59 | Tahmin: 9618.59 | MAE Hata: 0.0000
[2026-06-01 16:20:18.264963] Gerçek: 9368.93 | Tahmin: 9368.93 | MAE Hata: 0.0000
[2026-06-01 16:20:18.530810] Gerçek: 9181.37 | Tahmin: 9181.37 | MAE Hata: 0.0000
[2026-06-01 16:20:18.792574] Gerçek: 9027.94 | Tahmin: 9027.94 | MAE Hata: 0.0000
[2026-06-01 16:20:19.087068] Gerçek: 8810.42 | Tahmin: 8810.42 | MAE Hata: 0.0000
[2026-06-01 16:21:47.090278] Gerçek: 624.17 | Tahmin: 624.17 | MAE Hata: 0.0000
[2026-06-01 16:21:47.402773] Gerçek: 612.88 | Tahmin: 612.88 | MAE Hata: 0.0000
[2026-06-01 16:21:47.673215] Gerçek: 600.50 | Tahmin: 600.50 | MAE Hata: 0.0000
[2026-06-01 16:21:47.965259] Gerçek: 585.96 | Tahmin: 585.96 | MAE Hata: 0.0000
[2026-06-01 16:21:48.261118] Gerçek: 570.33 | Tahmin: 570.33 | MAE Hata: 0.0000
[2026-06-01 16:21:48.540365] Gerçek: 555.78 | Tahmin: 555.78 | MAE Hata: 0.0000
[2026-06-01 16:21:48.821090] Gerçek: 541.78 | Tahmin: 541.78 | MAE Hata: 0.0000
[2026-06-01 16:21:49.103410] Gerçek: 530.96 | Tahmin: 530.96 | MAE Hata: 0.0000
[2026-06-01 16:21:49.403014] Gerçek: 520.81 | Tahmin: 520.81 | MAE Hata: 0.0000
[2026-06-01 16:21:49.687215] Gerçek: 509.52 | Tahmin: 509.52 | MAE Hata: 0.0000
[2026-06-01 16:21:50.006709] Gerçek: 496.27 | Tahmin: 496.27 | MAE Hata: 0.0000
[2026-06-01 16:21:50.298027] Gerçek: 482.27 | Tahmin: 482.27 | MAE Hata: 0.0000
[2026-06-01 16:21:50.575045] Gerçek: 468.35 | Tahmin: 468.35 | MAE Hata: 0.0000
[2026-06-01 16:21:50.854298] Gerçek: 456.24 | Tahmin: 456.24 | MAE Hata: 0.0000
[2026-06-01 16:21:51.148171] Gerçek: 446.98 | Tahmin: 446.98 | MAE Hata: 0.0000
[2026-06-01 16:21:51.398963] Gerçek: 438.10 | Tahmin: 438.10 | MAE Hata: 0.0000
[2026-06-01 16:21:51.672933] Gerçek: 428.03 | Tahmin: 428.03 | MAE Hata: 0.0000
[2026-06-01 16:21:51.933039] Gerçek: 416.21 | Tahmin: 416.21 | MAE Hata: 0.0000
[2026-06-01 16:21:52.217644] Gerçek: 403.94 | Tahmin: 403.94 | MAE Hata: 0.0000
[2026-06-01 16:21:52.509005] Gerçek: 392.05 | Tahmin: 392.05 | MAE Hata: 0.0000
[2026-06-01 16:21:52.782882] Gerçek: 383.22 | Tahmin: 383.22 | MAE Hata: 0.0000
[2026-06-01 16:21:53.105880] Gerçek: 376.90 | Tahmin: 376.90 | MAE Hata: 0.0000
[2026-06-01 16:21:53.394546] Gerçek: 369.29 | Tahmin: 369.29 | MAE Hata: 0.0000
[2026-06-01 16:21:53.676671] Gerçek: 360.42 | Tahmin: 360.42 | MAE Hata: 0.0000
[2026-06-01 16:21:53.969690] Gerçek: 349.97 | Tahmin: 349.97 | MAE Hata: 0.0000
