iter	F1	Logloss
0	0.7283158544	0.6926498413
1	0.7284129069	0.6921539119
2	0.7284958561	0.6916847244
3	0.728491118	0.6912274206
4	0.728453838	0.6907772009
5	0.7284576904	0.690376979
6	0.7284778128	0.6899872773
7	0.7284681884	0.6895853388
8	0.7284456755	0.6892572214
9	0.728468831	0.6888594626
10	0.7284671983	0.6884976343
11	0.7284158804	0.6881925398
12	0.728399845	0.6878608004
13	0.7283838104	0.6875494773
14	0.7283806035	0.6872655235
15	0.7283806035	0.6870075301
16	0.7283870172	0.6867208006
17	0.7283773967	0.686454724
18	0.7283773967	0.6861898188
19	0.7283773967	0.6859114492
20	0.7283773967	0.6856684175
21	0.7283773967	0.6854441993
22	0.7283838104	0.6852485684
23	0.7283773967	0.6850337487
24	0.7283838104	0.68486219
25	0.7283838104	0.6846592957
26	0.7283773967	0.6844906011
27	0.7283773967	0.6842817403
28	0.7283773967	0.6840723098
29	0.7283773967	0.6838947418
30	0.7283773967	0.6837478772
31	0.7284126733	0.6835849213
32	0.7284094662	0.6834290068
33	0.728403052	0.6832631112
34	0.728399845	0.6831021145
35	0.728399845	0.6829490413
36	0.728399845	0.6827972951
37	0.728396638	0.6826502257
38	0.728396638	0.6825137773
39	0.728396638	0.6823968967
40	0.728396638	0.682257501
41	0.728396638	0.6821612254
42	0.7284158804	0.6820478575
43	0.7284158804	0.6818996818
44	0.7284158804	0.6817973803
45	0.7284158804	0.6816901864
46	0.7284126733	0.6815950602
47	0.7284126733	0.681490514
48	0.7284062591	0.6813910572
49	0.728403052	0.6812856266
50	0.728403052	0.6811926598
51	0.728403052	0.6811088221
52	0.728403052	0.6810394363
53	0.728399845	0.6809700749
54	0.728399845	0.6808694928
55	0.728399845	0.6807847127
56	0.728399845	0.6807189924
57	0.7283902241	0.6806439573
58	0.7283902241	0.6805589359
59	0.7283870172	0.6804573665
60	0.7283870172	0.6803994947
61	0.7283870172	0.6803411653
62	0.7283838104	0.6802850867
63	0.7283838104	0.6802331157
64	0.7283838104	0.6801270079
65	0.7283902241	0.68008051
66	0.7283902241	0.6799910508
67	0.7283902241	0.6799285836
68	0.7283902241	0.6798678967
69	0.7283902241	0.6797758556
70	0.7283902241	0.6797298431
71	0.7283870172	0.6796647077
