iter	Passed	Remaining
0	77	155844
1	114	113950
2	142	94948
3	172	86111
4	222	88597
5	324	107719
6	588	167541
7	746	185804
8	950	210259
9	1132	225454
10	1241	224416
11	1313	217671
12	1357	207522
13	1513	214722
14	1664	220210
15	1781	220879
16	1855	216470
17	1941	213812
18	1996	208149
19	2035	201495
20	2081	196165
21	2124	191026
22	2176	187113
23	2226	183330
24	2277	179917
25	2310	175408
26	2345	171404
27	2378	167495
28	2420	164499
29	2482	162988
30	2534	160989
31	2630	161803
32	2709	161529
33	2810	162527
34	2922	164093
35	3029	165271
36	3214	170534
37	3299	170347
38	3326	167244
39	3367	165014
40	3429	163874
41	3628	169158
42	3865	175937
43	4247	188840
44	4516	196238
45	4824	204916
46	5948	247168
47	6751	274573
48	6936	276189
49	7334	286028
50	7529	287735
51	7771	291135
52	7928	291249
53	8061	290510
54	8197	289895
55	8338	289458
56	8490	289429
57	8632	289048
58	8784	289007
59	8938	289000
60	9090	288963
61	9222	288263
62	9373	288200
63	9503	287490
64	9641	287015
65	9783	286699
66	9941	286815
67	10093	286764
68	10227	286227
69	11186	308421
70	11334	307941
71	11495	307813
72	11832	312344
73	12007	312529
74	12182	312695
75	12318	311852
76	12469	311406
77	12627	311161
78	12770	310544
79	13487	323706
80	13651	323426
81	13814	323133
82	13993	323201
83	14489	330508
84	14631	329630
85	14754	328383
86	14845	326424
87	14908	323922
88	14931	320617
89	15044	319269
90	15172	318290
91	15229	315855
92	15304	313822
93	15363	311528
94	15476	310345
95	15544	308298
96	15645	306949
97	15709	304894
98	15780	303018
99	15847	301101
100	15931	299542
101	16018	298067
102	16087	296292
103	16149	294421
104	16206	292487
105	16272	290752
106	16324	288814
107	16393	287193
108	16458	285524
109	16521	283864
110	16600	282509
111	16668	280975
112	16727	279334
113	16781	277629
114	16829	275855
115	16879	274143
116	16934	272541
117	16980	270820
118	17021	269048
119	17063	267327
120	17114	265771
121	17172	264341
122	17224	262854
123	17275	261363
124	17325	259877
125	17367	258305
126	17416	256861
127	17467	255463
128	17506	253906
129	17617	253426
130	17677	252208
131	17739	251034
132	17799	249867
133	17873	248899
134	17961	248132
135	18006	246800
136	18044	245375
137	18104	244284
138	18180	243412
139	18221	242083
140	18259	240746
141	18299	239445
142	18336	238121
143	18367	236739
144	18396	235350
145	18426	233997
146	18458	232674
147	18490	231382
148	18528	230171
149	18561	228927
150	18592	227660
151	18631	226521
152	18671	225394
153	18699	224155
154	18740	223076
155	18774	221929
156	18813	220851
157	18852	219787
158	18886	218685
159	18918	217557
160	18948	216431
161	18978	215327
162	19010	214247
163	19038	213134
164	19068	212068
165	19099	211020
166	19132	209995
167	19164	208983
168	19200	208029
169	19243	207151
170	19284	206266
171	19319	205327
172	19349	204341
173	19384	203429
174	19418	202506
175	19452	201603
176	19486	200697
177	19515	199759
178	19543	198821
179	19571	197893
180	19600	196983
181	19630	196084
182	19656	195168
183	19685	194288
184	19715	193420
185	19744	192566
186	19778	191752
187	19806	190903
188	19834	190058
189	19864	189231
190	19895	188438
191	19927	187654
192	19961	186895
193	19995	186148
194	20032	185426
195	20068	184714
196	20097	183939
197	20127	183176
198	20155	182416
199	20190	181717
200	20222	180992
201	20251	180257
202	20280	179529
203	20311	178821
204	20343	178130
205	20373	177427
206	20402	176723
207	20429	176008
208	20461	175341
209	20499	174731
210	20535	174115
211	20563	173435
212	20594	172782
213	20624	172127
214	20654	171476
215	20685	170843
216	20722	170270
217	20757	169681
218	20788	169062
219	20821	168466
220	20854	167872
221	20882	167247
222	20910	166629
223	20940	166028
224	20968	165419
225	20998	164829
226	21028	164242
227	21058	163665
